payment_id,subscription_id,amount,date,payment_date,payment_method_id,status
75722,75722,9397.31,2019-06-07,2019-06-07,3,Pending
80185,80185,2675.14,2021-01-16,2021-01-16,1,Failed
19865,19865,7784.79,2022-09-16,2022-09-16,2,Pending
76700,76700,6710.96,2018-05-19,2018-05-19,4,Completed
92992,92992,2296.84,2019-06-09,2019-06-09,3,Pending
76435,76435,3188.91,2022-07-10,2022-07-10,2,Completed
84005,84005,185.03,2019-10-22,2019-10-22,4,Failed
80918,80918,8187.17,2021-08-05,2021-08-05,3,Completed
60768,60768,7717.65,2021-04-02,2021-04-02,3,Completed
50075,50075,5828.21,2018-05-04,2018-05-04,2,Completed
27702,27702,2194.83,2018-10-11,2018-10-11,4,Pending
42142,42142,8606.03,2020-11-19,2020-11-19,4,Pending
45081,45081,676.17,2022-07-19,2022-07-19,1,Failed
16639,16639,1796.68,2020-07-04,2020-07-04,4,Completed
20425,20425,7168.13,2019-12-24,2019-12-24,1,Pending
88703,88703,2811.34,2022-05-20,2022-05-20,1,Failed
150,150,1807.95,2022-04-29,2022-04-29,2,Pending
1762,1762,3756.37,2021-09-18,2021-09-18,1,Pending
63121,63121,7600.94,2021-12-25,2021-12-25,1,Completed
69162,69162,2354.56,2022-04-26,2022-04-26,2,Failed
64884,64884,2597.16,2019-08-06,2019-08-06,2,Pending
2496,2496,7139.98,2020-06-20,2020-06-20,3,Failed
80297,80297,2359.03,2020-10-26,2020-10-26,3,Failed
19448,19448,2495.47,2019-08-05,2019-08-05,1,Completed
41332,41332,1261.24,2020-05-07,2020-05-07,1,Failed
14889,14889,5470.24,2023-01-17,2023-01-17,2,Pending
88637,88637,8760.97,2020-10-12,2020-10-12,2,Pending
94893,94893,481.77,2022-09-26,2022-09-26,1,Pending
92732,92732,3095.04,2020-03-09,2020-03-09,3,Pending
29131,29131,6454.79,2023-01-03,2023-01-03,2,Pending
79023,79023,3228.5,2019-02-23,2019-02-23,2,Pending
84937,84937,4971.97,2020-02-06,2020-02-06,1,Failed
16822,16822,3474.49,2022-08-12,2022-08-12,1,Failed
36734,36734,1120.53,2022-05-28,2022-05-28,3,Pending
15603,15603,7079.16,2019-02-24,2019-02-24,4,Completed
28534,28534,6073.26,2021-06-06,2021-06-06,3,Failed
69770,69770,1198.61,2018-05-22,2018-05-22,2,Completed
11406,11406,4652.24,2019-04-08,2019-04-08,2,Pending
96853,96853,2796.22,2021-05-17,2021-05-17,1,Pending
16131,16131,6457.55,2018-11-17,2018-11-17,4,Failed
19793,19793,415.43,2022-02-09,2022-02-09,4,Failed
89578,89578,7440.13,2019-10-28,2019-10-28,4,Pending
40164,40164,3898.96,2020-03-08,2020-03-08,3,Completed
31777,31777,636.04,2022-02-02,2022-02-02,4,Completed
25331,25331,942.2,2023-03-08,2023-03-08,4,Pending
79157,79157,754.26,2018-10-03,2018-10-03,2,Failed
51686,51686,8037.04,2022-07-19,2022-07-19,3,Completed
75499,75499,9413.3,2020-11-15,2020-11-15,2,Pending
4728,4728,6979.12,2022-11-24,2022-11-24,1,Completed
85199,85199,8179.64,2020-04-03,2020-04-03,3,Completed
35796,35796,3642.53,2020-03-04,2020-03-04,1,Completed
12257,12257,9399.63,2018-11-19,2018-11-19,3,Failed
35719,35719,473.02,2021-02-27,2021-02-27,1,Pending
70552,70552,1755.23,2020-07-19,2020-07-19,3,Pending
54375,54375,9637.27,2023-01-04,2023-01-04,1,Completed
39692,39692,7092.6,2018-06-06,2018-06-06,1,Failed
93703,93703,1051.07,2022-09-29,2022-09-29,2,Pending
73692,73692,7513.75,2022-06-09,2022-06-09,2,Completed
98071,98071,726.67,2018-06-10,2018-06-10,4,Completed
576,576,2196.06,2021-05-30,2021-05-30,1,Completed
84611,84611,1545.94,2018-03-30,2018-03-30,3,Failed
61770,61770,9527.34,2022-08-24,2022-08-24,3,Pending
32261,32261,5082.2,2022-12-04,2022-12-04,1,Completed
82200,82200,777.98,2022-05-11,2022-05-11,3,Failed
36291,36291,5540.33,2022-12-07,2022-12-07,4,Failed
78450,78450,7052.59,2020-09-10,2020-09-10,3,Completed
60056,60056,2889.52,2019-11-18,2019-11-18,4,Pending
45949,45949,9779.59,2020-08-11,2020-08-11,4,Completed
28178,28178,4257.13,2019-05-19,2019-05-19,4,Failed
84464,84464,6319.83,2021-11-16,2021-11-16,2,Completed
579,579,7795.74,2018-10-28,2018-10-28,1,Failed
30960,30960,8192.13,2020-03-11,2020-03-11,4,Failed
64291,64291,715.94,2022-12-19,2022-12-19,4,Pending
14532,14532,6265.02,2020-01-18,2020-01-18,1,Completed
17934,17934,1480.46,2022-09-22,2022-09-22,4,Failed
33609,33609,7859.51,2022-07-27,2022-07-27,3,Pending
49960,49960,6039.83,2019-02-23,2019-02-23,3,Pending
66599,66599,5458.16,2019-06-09,2019-06-09,1,Failed
99090,99090,6831.2,2018-11-01,2018-11-01,2,Completed
34452,34452,7491.22,2019-05-27,2019-05-27,4,Pending
34081,34081,8574.98,2021-12-11,2021-12-11,2,Completed
63588,63588,9295.08,2018-10-01,2018-10-01,1,Pending
