subscription_id,user_id,service_id,billing_cycle_id,status_id,next_payment_date,auto_renew
75722,618,1,1,1,2019-07-07,False
80185,378,3,1,3,2021-02-15,False
19865,604,8,2,3,2022-10-16,True
76700,785,8,2,2,2018-06-18,True
92992,716,4,1,1,2019-07-09,True
76435,404,4,1,3,2022-08-09,False
84005,405,2,1,2,2019-11-21,True
80918,481,6,2,2,2021-09-04,False
60768,727,6,2,1,2021-05-02,False
50075,612,2,2,1,2018-06-03,False
27702,796,1,1,1,2018-11-10,True
42142,865,2,1,1,2020-12-19,True
45081,517,5,2,2,2022-08-18,True
16639,395,9,1,3,2020-08-03,True
20425,754,5,1,2,2020-01-23,False
88703,692,2,1,1,2022-06-19,False
150,133,4,2,3,2022-05-29,False
1762,355,6,2,2,2021-10-18,True
63121,994,1,1,1,2022-01-24,False
69162,772,7,2,2,2022-05-26,False
64884,418,8,2,2,2019-09-05,False
2496,832,2,2,3,2020-07-20,False
80297,964,5,1,3,2020-11-25,True
19448,648,5,1,2,2019-09-04,False
41332,291,7,2,1,2020-06-06,False
14889,683,5,2,1,2023-02-16,True
88637,705,8,1,1,2020-11-11,True
94893,754,6,1,3,2022-10-26,False
92732,582,5,2,3,2020-04-08,True
29131,607,5,2,1,2023-02-02,True
79023,976,7,2,2,2019-03-25,True
84937,603,1,1,1,2020-03-07,False
16822,774,2,2,1,2022-09-11,True
36734,288,6,2,2,2022-06-27,True
15603,352,2,1,1,2019-03-26,False
28534,43,8,1,3,2021-07-06,True
69770,380,7,2,1,2018-06-21,True
11406,440,2,1,3,2019-05-08,False
96853,764,8,1,3,2021-06-16,True
16131,53,3,2,3,2018-12-17,False
19793,730,2,2,1,2022-03-11,True
89578,891,5,1,1,2019-11-27,True
40164,585,4,2,2,2020-04-07,False
31777,267,9,1,1,2022-03-04,True
25331,330,3,2,1,2023-04-07,False
79157,562,2,2,3,2018-11-02,True
51686,836,8,2,2,2022-08-18,True
75499,220,9,1,2,2020-12-15,True
4728,424,5,1,1,2022-12-24,False
85199,806,6,2,2,2020-05-03,True
35796,226,7,1,3,2020-04-03,False
12257,757,4,1,3,2018-12-19,True
35719,275,5,2,3,2021-03-29,True
70552,381,2,1,2,2020-08-18,False
54375,300,6,1,1,2023-02-03,False
39692,9,6,2,1,2018-07-06,True
93703,641,1,1,3,2022-10-29,False
73692,800,5,1,3,2022-07-09,True
98071,372,6,2,1,2018-07-10,True
576,437,9,2,2,2021-06-29,True
84611,363,6,1,3,2018-04-29,True
61770,665,9,1,3,2022-09-23,True
32261,453,3,2,3,2023-01-03,True
82200,659,7,2,1,2022-06-10,False
36291,538,9,1,3,2023-01-06,True
78450,376,7,1,1,2020-10-10,False
60056,704,7,1,2,2019-12-18,True
45949,614,1,2,1,2020-09-10,False
28178,946,7,2,1,2019-06-18,True
84464,833,7,1,3,2021-12-16,True
579,132,4,2,1,2018-11-27,False
30960,357,4,2,3,2020-04-10,False
64291,645,1,2,3,2023-01-18,False
14532,646,3,2,1,2020-02-17,True
17934,909,1,2,2,2022-10-22,False
33609,143,1,1,2,2022-08-26,True
49960,214,8,2,1,2019-03-25,False
66599,187,6,1,1,2019-07-09,True
99090,700,8,2,3,2018-12-01,True
34452,127,5,1,3,2019-06-26,True
34081,731,7,2,1,2022-01-10,True
63588,798,8,2,3,2018-10-31,True
4294,83,7,1,2,2019-01-20,True
69103,827,1,1,3,2023-01-11,True
86412,493,3,1,3,2020-06-18,False
99477,520,7,1,3,2023-03-31,False
53930,369,6,1,1,2021-01-29,False
87071,478,3,1,1,2021-04-17,False
65084,893,1,2,3,2020-11-11,False
30713,908,8,1,1,2018-06-28,True
49183,505,7,1,2,2020-06-20,True
57235,371,5,2,3,2022-09-13,True
15664,941,3,1,2,2020-03-03,False
19967,846,1,2,3,2018-07-03,False
91913,331,3,1,1,2021-06-19,False
91958,751,2,2,1,2022-03-27,False
81347,552,7,2,1,2023-02-25,False
55326,692,1,1,2,2018-09-09,True
29858,530,9,2,2,2019-06-11,True
71223,682,2,2,1,2020-02-05,True
52459,135,6,1,2,2023-02-05,True
88346,646,1,2,1,2021-06-08,True
82364,241,6,2,1,2021-10-06,False
65350,664,3,2,1,2019-05-29,False
59650,794,1,2,1,2018-05-13,False
44953,583,3,1,1,2020-03-04,False
39526,543,8,2,3,2021-05-15,True
13936,335,1,1,1,2022-12-12,False
93781,126,6,1,2,2019-09-02,True
89885,944,1,2,3,2020-12-26,True
81144,906,9,1,2,2019-11-28,False
95800,284,1,2,1,2019-03-11,False
89405,623,2,2,2,2020-10-01,False
55224,587,5,2,3,2021-03-27,True
73646,550,4,1,1,2019-05-23,False
66294,184,8,2,1,2020-11-27,False
