amount,date,subscription_id,user_id,service_id,billing_cycle_id,status_id,next_payment_date,auto_renew,payment_id,payment_date,payment_method_id,status
4852.02,2019-03-08,26705,512,1,2,2,2019-04-07,True,26705,2019-03-08,3,Pending
7189.11,2019-08-10,56818,538,7,2,1,2019-09-09,False,56818,2019-08-10,1,Completed
9118.5,2018-08-08,32661,78,5,1,1,2018-09-07,True,32661,2018-08-08,4,Failed
5705.96,2022-01-25,45482,412,8,1,2,2022-02-24,True,45482,2022-01-25,4,Completed
5901.5,2018-07-03,63143,894,4,1,2,2018-08-02,False,63143,2018-07-03,3,Pending
723.35,2022-12-18,61803,739,8,2,2,2023-01-17,False,61803,2022-12-18,2,Failed
2996.06,2022-02-03,39448,917,1,1,3,2022-03-05,False,39448,2022-02-03,2,Completed
498.3,2018-06-26,12521,874,8,1,1,2018-07-26,False,12521,2018-06-26,4,Pending
7455.95,2019-07-14,14985,589,8,1,2,2019-08-13,True,14985,2019-07-14,1,Pending
4115.5,2018-03-28,69862,355,2,2,2,2018-04-27,False,69862,2018-03-28,1,Completed
8932.93,2020-03-01,64295,20,3,2,3,2020-03-31,True,64295,2020-03-01,1,Pending
6975.83,2020-12-11,80087,255,5,2,3,2021-01-10,True,80087,2020-12-11,4,Completed
8774.24,2019-03-24,87379,810,4,2,2,2019-04-23,False,87379,2019-03-24,3,Completed
1218.01,2020-10-02,91682,923,3,1,3,2020-11-01,False,91682,2020-10-02,2,Pending
2638.24,2021-04-04,96698,624,5,1,2,2021-05-04,True,96698,2021-04-04,3,Completed
9232.82,2020-08-04,35871,993,9,1,3,2020-09-03,True,35871,2020-08-04,4,Completed
698.75,2019-09-02,82484,898,2,1,3,2019-10-02,True,82484,2019-09-02,2,Completed
1425.59,2018-07-13,55011,947,2,2,1,2018-08-12,True,55011,2018-07-13,2,Pending
9291.3,2021-11-22,754,42,5,1,1,2021-12-22,False,754,2021-11-22,2,Pending
2266.02,2023-03-24,16885,70,9,2,1,2023-04-23,False,16885,2023-03-24,4,Pending
873.85,2021-04-30,17363,716,1,1,3,2021-05-30,False,17363,2021-04-30,4,Completed
8570.41,2022-02-08,85906,406,7,2,1,2022-03-10,True,85906,2022-02-08,1,Failed
8574.04,2022-07-26,30988,966,4,1,2,2022-08-25,False,30988,2022-07-26,1,Failed
6441.86,2022-03-11,48598,422,4,1,1,2022-04-10,True,48598,2022-03-11,1,Pending
8749.08,2020-12-19,95944,663,2,1,2,2021-01-18,False,95944,2020-12-19,2,Failed
7058.11,2022-04-17,11016,107,7,2,1,2022-05-17,False,11016,2022-04-17,4,Pending
7757.8,2021-08-31,78196,39,5,2,2,2021-09-30,True,78196,2021-08-31,3,Completed
4929.3,2022-03-23,95711,176,7,1,3,2022-04-22,True,95711,2022-03-23,3,Failed
2307.13,2021-05-27,42642,850,5,2,3,2021-06-26,True,42642,2021-05-27,1,Completed
3979.02,2022-11-05,49364,776,7,1,2,2022-12-05,False,49364,2022-11-05,2,Failed
2791.17,2022-02-15,70181,320,2,2,1,2022-03-17,False,70181,2022-02-15,4,Pending
