amount,date,subscription_id,user_id,service_id,billing_cycle_id,status_id,next_payment_date,auto_renew
9397.31,2019-06-07,75722,618,1,1,1,2019-07-07,False
2675.14,2021-01-16,80185,378,3,1,3,2021-02-15,False
7784.79,2022-09-16,19865,604,8,2,3,2022-10-16,True
6710.96,2018-05-19,76700,785,8,2,2,2018-06-18,True
2296.84,2019-06-09,92992,716,4,1,1,2019-07-09,True
3188.91,2022-07-10,76435,404,4,1,3,2022-08-09,False
185.03,2019-10-22,84005,405,2,1,2,2019-11-21,True
8187.17,2021-08-05,80918,481,6,2,2,2021-09-04,False
7717.65,2021-04-02,60768,727,6,2,1,2021-05-02,False
5828.21,2018-05-04,50075,612,2,2,1,2018-06-03,False
2194.83,2018-10-11,27702,796,1,1,1,2018-11-10,True
8606.03,2020-11-19,42142,865,2,1,1,2020-12-19,True
676.17,2022-07-19,45081,517,5,2,2,2022-08-18,True
1796.68,2020-07-04,16639,395,9,1,3,2020-08-03,True
7168.13,2019-12-24,20425,754,5,1,2,2020-01-23,False
2811.34,2022-05-20,88703,692,2,1,1,2022-06-19,False
1807.95,2022-04-29,150,133,4,2,3,2022-05-29,False
3756.37,2021-09-18,1762,355,6,2,2,2021-10-18,True
7600.94,2021-12-25,63121,994,1,1,1,2022-01-24,False
2354.56,2022-04-26,69162,772,7,2,2,2022-05-26,False
2597.16,2019-08-06,64884,418,8,2,2,2019-09-05,False
7139.98,2020-06-20,2496,832,2,2,3,2020-07-20,False
2359.03,2020-10-26,80297,964,5,1,3,2020-11-25,True
2495.47,2019-08-05,19448,648,5,1,2,2019-09-04,False
1261.24,2020-05-07,41332,291,7,2,1,2020-06-06,False
5470.24,2023-01-17,14889,683,5,2,1,2023-02-16,True
8760.97,2020-10-12,88637,705,8,1,1,2020-11-11,True
481.77,2022-09-26,94893,754,6,1,3,2022-10-26,False
3095.04,2020-03-09,92732,582,5,2,3,2020-04-08,True
6454.79,2023-01-03,29131,607,5,2,1,2023-02-02,True
3228.5,2019-02-23,79023,976,7,2,2,2019-03-25,True
4971.97,2020-02-06,84937,603,1,1,1,2020-03-07,False
3474.49,2022-08-12,16822,774,2,2,1,2022-09-11,True
1120.53,2022-05-28,36734,288,6,2,2,2022-06-27,True
